Age,Monthly_Income,Investment_Experience,Risk_Tolerance,Investment_Horizon,Financial_Goal,Loss_Reaction,Risk_Profile
43,10000,3,1,192,education,hold,Moderate
35,200000,22,5,84,wealth,buy-more,Aggressive
34,50000,11,5,290,wealth,hold,Aggressive
56,200000,19,3,49,wealth,hold,Aggressive
32,200000,11,4,220,education,panic-sell,Moderate
52,35000,24,1,284,wealth,hold,Moderate
40,75000,24,3,131,emergency,hold,Moderate
22,150000,25,1,304,wealth,hold,Aggressive
43,150000,26,4,316,education,hold,Aggressive
56,150000,29,3,104,wealth,buy-more,Aggressive
49,75000,18,2,21,retirement,panic-sell,Moderate
43,10000,4,5,202,retirement,hold,Aggressive
43,75000,23,1,13,emergency,panic-sell,Conservative
49,5000,15,5,57,emergency,panic-sell,Conservative
28,5000,10,5,192,retirement,hold,Aggressive
44,200000,15,2,336,retirement,buy-more,Aggressive
47,150000,27,5,58,retirement,panic-sell,Moderate
49,20000,2,2,235,education,panic-sell,Conservative
23,50000,2,4,95,retirement,buy-more,Aggressive
22,100000,19,2,306,education,hold,Aggressive
35,20000,20,4,325,emergency,hold,Moderate
49,10000,15,1,288,emergency,buy-more,Moderate
51,100000,5,1,9,wealth,panic-sell,Moderate
41,150000,1,3,205,education,panic-sell,Moderate
38,5000,19,1,225,retirement,buy-more,Moderate
34,20000,16,2,259,emergency,buy-more,Moderate
29,200000,26,1,52,emergency,buy-more,Moderate
53,50000,14,4,322,education,panic-sell,Moderate
45,20000,3,5,19,emergency,hold,Moderate
45,10000,27,1,27,emergency,panic-sell,Conservative
30,5000,2,1,98,education,panic-sell,Conservative
24,35000,29,4,194,wealth,buy-more,Aggressive
61,5000,5,5,264,emergency,buy-more,Moderate
45,35000,14,3,344,wealth,panic-sell,Moderate
37,100000,19,1,103,education,buy-more,Moderate
53,5000,1,1,103,retirement,panic-sell,Conservative
22,10000,13,1,14,emergency,panic-sell,Conservative
32,200000,2,3,279,wealth,buy-more,Aggressive
38,5000,27,4,43,education,hold,Moderate
38,75000,19,5,133,emergency,buy-more,Aggressive
31,200000,4,4,153,wealth,buy-more,Aggressive
58,20000,5,1,8,education,panic-sell,Conservative
26,35000,2,3,355,retirement,buy-more,Aggressive
42,50000,25,3,7,education,buy-more,Moderate
31,200000,15,1,157,retirement,hold,Moderate
39,5000,2,2,196,emergency,panic-sell,Conservative
49,5000,23,1,357,education,buy-more,Moderate
38,35000,17,3,230,education,buy-more,Conservative
42,10000,16,2,271,wealth,panic-sell,Conservative
38,35000,17,3,230,education,buy-more,Conservative
48,20000,13,3,34,emergency,panic-sell,Conservative
62,10000,23,5,161,wealth,panic-sell,Moderate
50,150000,0,4,256,retirement,buy-more,Aggressive
24,35000,21,4,254,retirement,hold,Aggressive
61,75000,8,1,351,education,buy-more,Conservative
54,150000,15,3,161,wealth,buy-more,Aggressive
35,100000,14,5,241,education,panic-sell,Aggressive
51,10000,22,5,339,wealth,buy-more,Aggressive
24,100000,24,4,99,wealth,panic-sell,Aggressive
53,35000,18,2,339,wealth,buy-more,Aggressive
58,50000,14,5,92,education,panic-sell,Moderate
42,10000,12,3,185,retirement,hold,Moderate
26,10000,26,5,213,wealth,hold,Aggressive
43,5000,27,5,247,retirement,hold,Aggressive
45,10000,5,1,206,education,panic-sell,Conservative
34,50000,11,5,290,wealth,hold,Aggressive
45,10000,17,3,272,retirement,hold,Moderate
58,10000,12,3,103,emergency,panic-sell,Moderate
50,150000,1,1,170,education,panic-sell,Moderate
57,5000,16,1,254,emergency,panic-sell,Conservative
42,150000,4,4,82,emergency,hold,Conservative
48,5000,13,4,186,retirement,panic-sell,Aggressive
35,35000,16,5,51,retirement,buy-more,Aggressive
29,20000,3,1,202,emergency,panic-sell,Conservative
53,200000,7,2,203,education,panic-sell,Moderate
40,50000,5,5,94,retirement,buy-more,Aggressive
25,35000,24,2,277,retirement,hold,Moderate
47,200000,29,4,192,education,hold,Aggressive
43,75000,23,1,13,emergency,panic-sell,Conservative
22,200000,16,5,346,retirement,buy-more,Aggressive
39,100000,17,5,81,wealth,hold,Aggressive
45,20000,19,2,88,wealth,hold,Moderate
40,35000,28,4,320,retirement,buy-more,Aggressive
36,20000,13,2,120,retirement,panic-sell,Moderate
35,150000,29,3,291,emergency,panic-sell,Moderate
64,150000,3,4,240,education,panic-sell,Moderate
26,100000,21,4,117,education,hold,Aggressive
29,10000,3,5,208,wealth,buy-more,Aggressive
60,150000,28,2,37,wealth,buy-more,Aggressive
44,75000,10,1,100,emergency,panic-sell,Conservative
30,50000,27,4,241,education,buy-more,Aggressive
32,200000,16,1,299,wealth,panic-sell,Moderate
26,10000,28,3,113,retirement,buy-more,Aggressive
45,10000,5,1,206,education,panic-sell,Conservative
33,5000,22,1,156,education,hold,Conservative
45,10000,5,1,206,education,panic-sell,Conservative
62,50000,0,5,156,retirement,buy-more,Aggressive
40,200000,14,2,258,wealth,hold,Conservative
34,35000,25,4,17,wealth,panic-sell,Moderate
33,100000,19,1,310,retirement,buy-more,Aggressive
36,5000,11,5,82,emergency,hold,Conservative
53,5000,18,4,199,wealth,buy-more,Aggressive
40,200000,14,2,258,wealth,hold,Conservative
38,5000,25,5,10,education,panic-sell,Moderate
42,5000,9,1,118,retirement,panic-sell,Moderate
53,5000,1,1,103,retirement,panic-sell,Conservative
22,10000,13,1,14,emergency,panic-sell,Conservative
51,200000,29,3,202,education,hold,Moderate
31,75000,21,4,285,wealth,hold,Aggressive
31,100000,18,2,247,retirement,buy-more,Aggressive
32,35000,21,5,186,emergency,panic-sell,Conservative
38,75000,27,5,185,emergency,hold,Aggressive
35,150000,10,3,192,retirement,panic-sell,Moderate
30,5000,2,1,98,education,panic-sell,Conservative
24,20000,7,1,30,education,panic-sell,Conservative
30,150000,22,4,116,wealth,panic-sell,Aggressive
54,150000,23,3,348,retirement,buy-more,Aggressive
61,200000,8,4,157,wealth,hold,Aggressive
46,75000,5,1,192,emergency,panic-sell,Conservative
29,20000,3,1,202,emergency,panic-sell,Conservative
45,50000,11,5,178,education,hold,Aggressive
31,150000,23,5,121,retirement,panic-sell,Aggressive
42,50000,13,3,305,retirement,hold,Aggressive
62,100000,21,2,166,education,hold,Moderate
36,75000,27,2,49,education,panic-sell,Moderate
45,20000,16,4,278,emergency,panic-sell,Moderate
54,50000,19,4,349,wealth,buy-more,Aggressive
57,50000,22,3,240,emergency,hold,Moderate
55,10000,1,1,245,wealth,hold,Moderate
62,50000,4,1,320,emergency,panic-sell,Conservative
49,5000,2,4,116,wealth,panic-sell,Moderate
26,20000,17,4,338,wealth,panic-sell,Aggressive
46,75000,5,1,192,emergency,panic-sell,Conservative
52,5000,14,3,77,education,hold,Moderate
35,75000,0,5,342,retirement,hold,Aggressive
43,20000,1,4,311,education,hold,Moderate
44,5000,4,1,116,emergency,panic-sell,Conservative
23,200000,13,3,124,wealth,buy-more,Aggressive
61,150000,10,5,309,emergency,buy-more,Aggressive
62,75000,27,5,195,emergency,panic-sell,Moderate
44,75000,10,1,100,emergency,panic-sell,Conservative
37,150000,8,5,51,retirement,panic-sell,Moderate
56,10000,4,3,246,retirement,hold,Moderate
24,100000,24,4,99,wealth,panic-sell,Aggressive
61,10000,23,2,103,education,buy-more,Moderate
43,10000,4,1,42,emergency,panic-sell,Conservative
61,75000,8,1,351,education,buy-more,Conservative
55,100000,22,5,274,retirement,hold,Aggressive
47,75000,18,3,44,retirement,panic-sell,Moderate
